Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CBKRPoly_s
Temperature(C)= 20.0	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-8.400E-3
-95.000E-9	-8.400E-3
-90.000E-9	-8.240E-3
-85.000E-9	-7.960E-3
-80.000E-9	-7.550E-3
-75.000E-9	-7.250E-3
-70.000E-9	-6.960E-3
-65.000E-9	-6.440E-3
-60.000E-9	-6.110E-3
-55.000E-9	-5.580E-3
-50.000E-9	-5.070E-3
-45.000E-9	-4.610E-3
-40.000E-9	-4.140E-3
-35.000E-9	-3.720E-3
-30.000E-9	-3.300E-3
-25.000E-9	-2.870E-3
-20.000E-9	-2.440E-3
-15.000E-9	-2.000E-3
-10.000E-9	-1.560E-3
-5.000E-9	-1.120E-3
0.000E+0	-690.000E-6
5.000E-9	-260.000E-6
10.000E-9	-0.000E+0
15.000E-9	470.000E-6
20.000E-9	940.000E-6
25.000E-9	1.420E-3
30.000E-9	1.900E-3
35.000E-9	2.340E-3
40.000E-9	2.770E-3
45.000E-9	3.210E-3
50.000E-9	3.470E-3
55.000E-9	3.970E-3
60.000E-9	4.290E-3
65.000E-9	4.650E-3
70.000E-9	5.230E-3
75.000E-9	5.760E-3
80.000E-9	6.290E-3
85.000E-9	6.770E-3
90.000E-9	7.200E-3
95.000E-9	7.630E-3
100.000E-9	8.070E-3
