Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CBKRPoly_r
Temperature(C)= 20.1	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-8.450E-3
-95.000E-9	-8.440E-3
-90.000E-9	-8.280E-3
-85.000E-9	-8.010E-3
-80.000E-9	-7.610E-3
-75.000E-9	-7.190E-3
-70.000E-9	-6.800E-3
-65.000E-9	-6.410E-3
-60.000E-9	-6.150E-3
-55.000E-9	-5.680E-3
-50.000E-9	-5.190E-3
-45.000E-9	-4.720E-3
-40.000E-9	-4.240E-3
-35.000E-9	-3.810E-3
-30.000E-9	-3.390E-3
-25.000E-9	-2.960E-3
-20.000E-9	-2.520E-3
-15.000E-9	-2.090E-3
-10.000E-9	-1.660E-3
-5.000E-9	-1.230E-3
0.000E+0	-800.000E-6
5.000E-9	-540.000E-6
10.000E-9	-60.000E-6
15.000E-9	410.000E-6
20.000E-9	890.000E-6
25.000E-9	1.370E-3
30.000E-9	1.820E-3
35.000E-9	2.260E-3
40.000E-9	2.710E-3
45.000E-9	3.150E-3
50.000E-9	3.420E-3
55.000E-9	3.910E-3
60.000E-9	4.400E-3
65.000E-9	4.890E-3
70.000E-9	5.210E-3
75.000E-9	5.700E-3
80.000E-9	6.200E-3
85.000E-9	6.690E-3
90.000E-9	7.180E-3
95.000E-9	7.650E-3
100.000E-9	8.120E-3
