Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.300E-3
-95.000E-9	-11.250E-3
-90.000E-9	-11.150E-3
-85.000E-9	-10.930E-3
-80.000E-9	-10.610E-3
-75.000E-9	-10.170E-3
-70.000E-9	-9.400E-3
-65.000E-9	-8.620E-3
-60.000E-9	-7.960E-3
-55.000E-9	-7.340E-3
-50.000E-9	-6.770E-3
-45.000E-9	-6.210E-3
-40.000E-9	-5.640E-3
-35.000E-9	-5.070E-3
-30.000E-9	-4.500E-3
-25.000E-9	-3.930E-3
-20.000E-9	-3.350E-3
-15.000E-9	-2.760E-3
-10.000E-9	-2.180E-3
-5.000E-9	-1.590E-3
0.000E+0	-1.000E-3
5.000E-9	-410.000E-6
10.000E-9	180.000E-6
15.000E-9	780.000E-6
20.000E-9	1.390E-3
25.000E-9	1.990E-3
30.000E-9	2.600E-3
35.000E-9	3.210E-3
40.000E-9	3.570E-3
45.000E-9	4.250E-3
50.000E-9	4.930E-3
55.000E-9	5.610E-3
60.000E-9	6.290E-3
65.000E-9	6.910E-3
70.000E-9	7.540E-3
75.000E-9	8.180E-3
80.000E-9	8.560E-3
85.000E-9	9.260E-3
90.000E-9	9.970E-3
95.000E-9	10.410E-3
100.000E-9	10.920E-3
