Custom_Flutes_23-Nov-20_3:33:20 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 21.4	Humidity(%)= 8.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.710E-3
-95.000E-9	-11.660E-3
-90.000E-9	-11.540E-3
-85.000E-9	-11.160E-3
-80.000E-9	-10.590E-3
-75.000E-9	-9.970E-3
-70.000E-9	-9.350E-3
-65.000E-9	-8.780E-3
-60.000E-9	-8.440E-3
-55.000E-9	-8.040E-3
-50.000E-9	-7.350E-3
-45.000E-9	-6.650E-3
-40.000E-9	-6.190E-3
-35.000E-9	-5.480E-3
-30.000E-9	-4.830E-3
-25.000E-9	-4.180E-3
-20.000E-9	-3.520E-3
-15.000E-9	-3.160E-3
-10.000E-9	-2.740E-3
-5.000E-9	-2.010E-3
0.000E+0	-1.270E-3
5.000E-9	-780.000E-6
10.000E-9	-40.000E-6
15.000E-9	630.000E-6
20.000E-9	1.320E-3
25.000E-9	2.010E-3
30.000E-9	2.640E-3
35.000E-9	3.280E-3
40.000E-9	3.930E-3
45.000E-9	4.570E-3
50.000E-9	5.210E-3
55.000E-9	5.600E-3
60.000E-9	6.300E-3
65.000E-9	7.020E-3
70.000E-9	7.740E-3
75.000E-9	8.460E-3
80.000E-9	9.130E-3
85.000E-9	9.790E-3
90.000E-9	10.460E-3
95.000E-9	11.120E-3
100.000E-9	11.520E-3
