Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 23.1	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.250E-3
-95.000E-9	-10.260E-3
-90.000E-9	-10.160E-3
-85.000E-9	-9.800E-3
-80.000E-9	-9.490E-3
-75.000E-9	-9.090E-3
-70.000E-9	-8.390E-3
-65.000E-9	-7.790E-3
-60.000E-9	-7.190E-3
-55.000E-9	-6.640E-3
-50.000E-9	-6.130E-3
-45.000E-9	-5.620E-3
-40.000E-9	-5.110E-3
-35.000E-9	-4.590E-3
-30.000E-9	-4.280E-3
-25.000E-9	-3.920E-3
-20.000E-9	-3.300E-3
-15.000E-9	-2.670E-3
-10.000E-9	-2.250E-3
-5.000E-9	-1.830E-3
0.000E+0	-1.200E-3
5.000E-9	-570.000E-6
10.000E-9	50.000E-6
15.000E-9	640.000E-6
20.000E-9	1.170E-3
25.000E-9	1.710E-3
30.000E-9	2.240E-3
35.000E-9	2.780E-3
40.000E-9	3.100E-3
45.000E-9	3.700E-3
50.000E-9	4.290E-3
55.000E-9	4.890E-3
60.000E-9	5.490E-3
65.000E-9	6.030E-3
70.000E-9	6.580E-3
75.000E-9	7.130E-3
80.000E-9	7.680E-3
85.000E-9	8.010E-3
90.000E-9	8.610E-3
95.000E-9	9.230E-3
100.000E-9	9.840E-3
