Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.2	Humidity(%)= 8.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.440E-3
-95.000E-9	-10.390E-3
-90.000E-9	-10.190E-3
-85.000E-9	-9.990E-3
-80.000E-9	-9.490E-3
-75.000E-9	-8.940E-3
-70.000E-9	-8.380E-3
-65.000E-9	-7.820E-3
-60.000E-9	-7.510E-3
-55.000E-9	-7.150E-3
-50.000E-9	-6.520E-3
-45.000E-9	-5.890E-3
-40.000E-9	-5.260E-3
-35.000E-9	-4.890E-3
-30.000E-9	-4.310E-3
-25.000E-9	-3.720E-3
-20.000E-9	-3.130E-3
-15.000E-9	-2.540E-3
-10.000E-9	-2.210E-3
-5.000E-9	-1.610E-3
0.000E+0	-1.010E-3
5.000E-9	-400.000E-6
10.000E-9	190.000E-6
15.000E-9	750.000E-6
20.000E-9	1.310E-3
25.000E-9	1.880E-3
30.000E-9	2.440E-3
35.000E-9	3.010E-3
40.000E-9	3.580E-3
45.000E-9	4.150E-3
50.000E-9	4.720E-3
55.000E-9	5.300E-3
60.000E-9	5.880E-3
65.000E-9	6.460E-3
70.000E-9	7.050E-3
75.000E-9	7.640E-3
80.000E-9	8.230E-3
85.000E-9	8.820E-3
90.000E-9	9.420E-3
95.000E-9	10.010E-3
100.000E-9	10.610E-3
