Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.3	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.920E-3
-95.000E-9	-12.850E-3
-90.000E-9	-12.600E-3
-85.000E-9	-12.170E-3
-80.000E-9	-11.800E-3
-75.000E-9	-11.370E-3
-70.000E-9	-10.630E-3
-65.000E-9	-9.870E-3
-60.000E-9	-9.370E-3
-55.000E-9	-8.600E-3
-50.000E-9	-7.900E-3
-45.000E-9	-7.190E-3
-40.000E-9	-6.480E-3
-35.000E-9	-6.080E-3
-30.000E-9	-5.360E-3
-25.000E-9	-4.630E-3
-20.000E-9	-3.890E-3
-15.000E-9	-3.420E-3
-10.000E-9	-2.950E-3
-5.000E-9	-2.400E-3
0.000E+0	-1.520E-3
5.000E-9	-630.000E-6
10.000E-9	-70.000E-6
15.000E-9	750.000E-6
20.000E-9	1.520E-3
25.000E-9	2.010E-3
30.000E-9	2.850E-3
35.000E-9	3.630E-3
40.000E-9	4.420E-3
45.000E-9	5.210E-3
50.000E-9	5.640E-3
55.000E-9	6.440E-3
60.000E-9	7.240E-3
65.000E-9	8.040E-3
70.000E-9	8.850E-3
75.000E-9	9.580E-3
80.000E-9	10.320E-3
85.000E-9	10.760E-3
90.000E-9	11.580E-3
95.000E-9	12.410E-3
100.000E-9	13.230E-3
