Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 23.4	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.260E-3
-95.000E-9	-9.260E-3
-90.000E-9	-9.180E-3
-85.000E-9	-9.000E-3
-80.000E-9	-8.740E-3
-75.000E-9	-8.370E-3
-70.000E-9	-7.680E-3
-65.000E-9	-7.040E-3
-60.000E-9	-6.500E-3
-55.000E-9	-6.180E-3
-50.000E-9	-5.670E-3
-45.000E-9	-5.160E-3
-40.000E-9	-4.840E-3
-35.000E-9	-4.280E-3
-30.000E-9	-3.950E-3
-25.000E-9	-3.390E-3
-20.000E-9	-2.820E-3
-15.000E-9	-2.490E-3
-10.000E-9	-2.110E-3
-5.000E-9	-1.530E-3
0.000E+0	-950.000E-6
5.000E-9	-570.000E-6
10.000E-9	0.000E+0
15.000E-9	530.000E-6
20.000E-9	1.070E-3
25.000E-9	1.600E-3
30.000E-9	2.090E-3
35.000E-9	2.580E-3
40.000E-9	3.090E-3
45.000E-9	3.610E-3
50.000E-9	4.130E-3
55.000E-9	4.430E-3
60.000E-9	4.980E-3
65.000E-9	5.530E-3
70.000E-9	6.090E-3
75.000E-9	6.650E-3
80.000E-9	7.150E-3
85.000E-9	7.660E-3
90.000E-9	8.170E-3
95.000E-9	8.690E-3
100.000E-9	9.210E-3
