Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-7.900E-3
-95.000E-9	-7.860E-3
-90.000E-9	-7.690E-3
-85.000E-9	-7.540E-3
-80.000E-9	-7.140E-3
-75.000E-9	-6.700E-3
-70.000E-9	-6.270E-3
-65.000E-9	-6.000E-3
-60.000E-9	-5.580E-3
-55.000E-9	-5.150E-3
-50.000E-9	-4.880E-3
-45.000E-9	-4.410E-3
-40.000E-9	-3.970E-3
-35.000E-9	-3.530E-3
-30.000E-9	-3.100E-3
-25.000E-9	-2.700E-3
-20.000E-9	-2.300E-3
-15.000E-9	-1.900E-3
-10.000E-9	-1.490E-3
-5.000E-9	-1.090E-3
0.000E+0	-680.000E-6
5.000E-9	-280.000E-6
10.000E-9	120.000E-6
15.000E-9	530.000E-6
20.000E-9	940.000E-6
25.000E-9	1.360E-3
30.000E-9	1.780E-3
35.000E-9	2.200E-3
40.000E-9	2.610E-3
45.000E-9	2.860E-3
50.000E-9	3.320E-3
55.000E-9	3.780E-3
60.000E-9	4.250E-3
65.000E-9	4.710E-3
70.000E-9	4.960E-3
75.000E-9	5.260E-3
80.000E-9	5.770E-3
85.000E-9	6.120E-3
90.000E-9	6.460E-3
95.000E-9	7.060E-3
100.000E-9	7.570E-3
