Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.3	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.470E-3
-95.000E-9	-12.470E-3
-90.000E-9	-12.240E-3
-85.000E-9	-12.000E-3
-80.000E-9	-11.660E-3
-75.000E-9	-11.180E-3
-70.000E-9	-10.650E-3
-65.000E-9	-9.810E-3
-60.000E-9	-8.960E-3
-55.000E-9	-8.230E-3
-50.000E-9	-7.800E-3
-45.000E-9	-7.120E-3
-40.000E-9	-6.440E-3
-35.000E-9	-6.000E-3
-30.000E-9	-5.240E-3
-25.000E-9	-4.540E-3
-20.000E-9	-4.100E-3
-15.000E-9	-3.330E-3
-10.000E-9	-2.610E-3
-5.000E-9	-1.900E-3
0.000E+0	-1.180E-3
5.000E-9	-520.000E-6
10.000E-9	140.000E-6
15.000E-9	800.000E-6
20.000E-9	1.480E-3
25.000E-9	2.150E-3
30.000E-9	2.550E-3
35.000E-9	3.300E-3
40.000E-9	4.050E-3
45.000E-9	4.810E-3
50.000E-9	5.570E-3
55.000E-9	6.260E-3
60.000E-9	6.950E-3
65.000E-9	7.660E-3
70.000E-9	8.080E-3
75.000E-9	8.860E-3
80.000E-9	9.640E-3
85.000E-9	10.410E-3
90.000E-9	10.920E-3
95.000E-9	11.420E-3
100.000E-9	12.280E-3
