Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CBKRPoly_r
Temperature(C)= 19.3	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-14.240E-3
-95.000E-9	-14.160E-3
-90.000E-9	-13.890E-3
-85.000E-9	-13.420E-3
-80.000E-9	-12.750E-3
-75.000E-9	-12.360E-3
-70.000E-9	-11.620E-3
-65.000E-9	-11.140E-3
-60.000E-9	-10.600E-3
-55.000E-9	-9.700E-3
-50.000E-9	-8.870E-3
-45.000E-9	-8.030E-3
-40.000E-9	-7.250E-3
-35.000E-9	-6.530E-3
-30.000E-9	-6.090E-3
-25.000E-9	-5.300E-3
-20.000E-9	-4.500E-3
-15.000E-9	-3.680E-3
-10.000E-9	-2.870E-3
-5.000E-9	-2.120E-3
0.000E+0	-1.360E-3
5.000E-9	-600.000E-6
10.000E-9	160.000E-6
15.000E-9	930.000E-6
20.000E-9	1.700E-3
25.000E-9	2.490E-3
30.000E-9	3.270E-3
35.000E-9	4.060E-3
40.000E-9	4.850E-3
45.000E-9	5.660E-3
50.000E-9	6.460E-3
55.000E-9	6.950E-3
60.000E-9	7.850E-3
65.000E-9	8.750E-3
70.000E-9	9.330E-3
75.000E-9	9.980E-3
80.000E-9	10.650E-3
85.000E-9	11.730E-3
90.000E-9	12.820E-3
95.000E-9	13.820E-3
100.000E-9	14.410E-3
