Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-8.970E-3
-95.000E-9	-8.930E-3
-90.000E-9	-8.750E-3
-85.000E-9	-8.450E-3
-80.000E-9	-8.010E-3
-75.000E-9	-7.580E-3
-70.000E-9	-7.140E-3
-65.000E-9	-6.880E-3
-60.000E-9	-6.400E-3
-55.000E-9	-5.910E-3
-50.000E-9	-5.590E-3
-45.000E-9	-5.050E-3
-40.000E-9	-4.560E-3
-35.000E-9	-4.070E-3
-30.000E-9	-3.750E-3
-25.000E-9	-3.250E-3
-20.000E-9	-2.930E-3
-15.000E-9	-2.380E-3
-10.000E-9	-1.830E-3
-5.000E-9	-1.330E-3
0.000E+0	-820.000E-6
5.000E-9	-540.000E-6
10.000E-9	-30.000E-6
15.000E-9	470.000E-6
20.000E-9	990.000E-6
25.000E-9	1.510E-3
30.000E-9	1.790E-3
35.000E-9	2.320E-3
40.000E-9	2.850E-3
45.000E-9	3.370E-3
50.000E-9	3.900E-3
55.000E-9	4.190E-3
60.000E-9	4.720E-3
65.000E-9	5.250E-3
70.000E-9	5.790E-3
75.000E-9	6.330E-3
80.000E-9	6.820E-3
85.000E-9	7.120E-3
90.000E-9	7.660E-3
95.000E-9	8.210E-3
100.000E-9	8.750E-3
