Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.8	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.550E-3
-95.000E-9	-12.550E-3
-90.000E-9	-12.430E-3
-85.000E-9	-12.190E-3
-80.000E-9	-11.840E-3
-75.000E-9	-11.060E-3
-70.000E-9	-10.210E-3
-65.000E-9	-9.720E-3
-60.000E-9	-8.980E-3
-55.000E-9	-8.550E-3
-50.000E-9	-7.800E-3
-45.000E-9	-7.040E-3
-40.000E-9	-6.600E-3
-35.000E-9	-5.830E-3
-30.000E-9	-5.380E-3
-25.000E-9	-4.610E-3
-20.000E-9	-4.100E-3
-15.000E-9	-3.320E-3
-10.000E-9	-2.530E-3
-5.000E-9	-2.070E-3
0.000E+0	-1.270E-3
5.000E-9	-540.000E-6
10.000E-9	180.000E-6
15.000E-9	920.000E-6
20.000E-9	1.600E-3
25.000E-9	2.290E-3
30.000E-9	2.970E-3
35.000E-9	3.660E-3
40.000E-9	4.350E-3
45.000E-9	5.040E-3
50.000E-9	5.740E-3
55.000E-9	6.440E-3
60.000E-9	7.140E-3
65.000E-9	7.850E-3
70.000E-9	8.550E-3
75.000E-9	9.260E-3
80.000E-9	9.970E-3
85.000E-9	10.390E-3
90.000E-9	10.890E-3
95.000E-9	11.760E-3
100.000E-9	12.340E-3
