Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.680E-3
-95.000E-9	-11.680E-3
-90.000E-9	-11.460E-3
-85.000E-9	-11.070E-3
-80.000E-9	-10.730E-3
-75.000E-9	-10.280E-3
-70.000E-9	-9.590E-3
-65.000E-9	-8.910E-3
-60.000E-9	-8.220E-3
-55.000E-9	-7.590E-3
-50.000E-9	-7.000E-3
-45.000E-9	-6.420E-3
-40.000E-9	-5.830E-3
-35.000E-9	-5.240E-3
-30.000E-9	-4.650E-3
-25.000E-9	-4.290E-3
-20.000E-9	-3.640E-3
-15.000E-9	-3.220E-3
-10.000E-9	-2.730E-3
-5.000E-9	-1.940E-3
0.000E+0	-1.210E-3
5.000E-9	-470.000E-6
10.000E-9	200.000E-6
15.000E-9	820.000E-6
20.000E-9	1.450E-3
25.000E-9	2.080E-3
30.000E-9	2.710E-3
35.000E-9	3.340E-3
40.000E-9	3.980E-3
45.000E-9	4.370E-3
50.000E-9	5.080E-3
55.000E-9	5.790E-3
60.000E-9	6.490E-3
65.000E-9	7.200E-3
70.000E-9	7.850E-3
75.000E-9	8.500E-3
80.000E-9	9.150E-3
85.000E-9	9.810E-3
90.000E-9	10.480E-3
95.000E-9	10.880E-3
100.000E-9	11.620E-3
