Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.2	Humidity(%)= 8.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.510E-3
-95.000E-9	-10.460E-3
-90.000E-9	-10.260E-3
-85.000E-9	-9.910E-3
-80.000E-9	-9.410E-3
-75.000E-9	-8.910E-3
-70.000E-9	-8.400E-3
-65.000E-9	-8.100E-3
-60.000E-9	-7.540E-3
-55.000E-9	-6.980E-3
-50.000E-9	-6.400E-3
-45.000E-9	-5.830E-3
-40.000E-9	-5.300E-3
-35.000E-9	-4.980E-3
-30.000E-9	-4.610E-3
-25.000E-9	-3.960E-3
-20.000E-9	-3.320E-3
-15.000E-9	-2.890E-3
-10.000E-9	-2.240E-3
-5.000E-9	-1.640E-3
0.000E+0	-1.040E-3
5.000E-9	-430.000E-6
10.000E-9	110.000E-6
15.000E-9	670.000E-6
20.000E-9	1.230E-3
25.000E-9	1.570E-3
30.000E-9	1.960E-3
35.000E-9	2.640E-3
40.000E-9	3.100E-3
45.000E-9	3.550E-3
50.000E-9	4.070E-3
55.000E-9	4.880E-3
60.000E-9	5.340E-3
65.000E-9	6.160E-3
70.000E-9	6.860E-3
75.000E-9	7.510E-3
80.000E-9	7.930E-3
85.000E-9	8.570E-3
90.000E-9	9.220E-3
95.000E-9	9.640E-3
100.000E-9	10.350E-3
