Custom_Flutes_23-Nov-20_3:55:23 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 21.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.950E-3
-95.000E-9	-9.900E-3
-90.000E-9	-9.800E-3
-85.000E-9	-9.610E-3
-80.000E-9	-9.130E-3
-75.000E-9	-8.560E-3
-70.000E-9	-7.990E-3
-65.000E-9	-7.450E-3
-60.000E-9	-6.960E-3
-55.000E-9	-6.470E-3
-50.000E-9	-5.960E-3
-45.000E-9	-5.460E-3
-40.000E-9	-4.960E-3
-35.000E-9	-4.460E-3
-30.000E-9	-4.160E-3
-25.000E-9	-3.620E-3
-20.000E-9	-3.070E-3
-15.000E-9	-2.510E-3
-10.000E-9	-1.950E-3
-5.000E-9	-1.640E-3
0.000E+0	-1.080E-3
5.000E-9	-720.000E-6
10.000E-9	-100.000E-6
15.000E-9	520.000E-6
20.000E-9	1.090E-3
25.000E-9	1.660E-3
30.000E-9	1.980E-3
35.000E-9	2.550E-3
40.000E-9	3.120E-3
45.000E-9	3.700E-3
50.000E-9	4.280E-3
55.000E-9	4.810E-3
60.000E-9	5.350E-3
65.000E-9	5.880E-3
70.000E-9	6.420E-3
75.000E-9	6.960E-3
80.000E-9	7.290E-3
85.000E-9	7.890E-3
90.000E-9	8.480E-3
95.000E-9	9.070E-3
100.000E-9	9.670E-3
