Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 23.6	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.960E-3
-95.000E-9	-10.950E-3
-90.000E-9	-10.750E-3
-85.000E-9	-10.540E-3
-80.000E-9	-10.010E-3
-75.000E-9	-9.390E-3
-70.000E-9	-9.020E-3
-65.000E-9	-8.390E-3
-60.000E-9	-7.800E-3
-55.000E-9	-7.200E-3
-50.000E-9	-6.820E-3
-45.000E-9	-6.220E-3
-40.000E-9	-5.840E-3
-35.000E-9	-5.180E-3
-30.000E-9	-4.520E-3
-25.000E-9	-3.910E-3
-20.000E-9	-3.290E-3
-15.000E-9	-2.730E-3
-10.000E-9	-2.390E-3
-5.000E-9	-1.760E-3
0.000E+0	-1.130E-3
5.000E-9	-500.000E-6
10.000E-9	120.000E-6
15.000E-9	470.000E-6
20.000E-9	1.110E-3
25.000E-9	1.750E-3
30.000E-9	2.160E-3
35.000E-9	2.870E-3
40.000E-9	3.520E-3
45.000E-9	4.170E-3
50.000E-9	4.820E-3
55.000E-9	5.420E-3
60.000E-9	6.020E-3
65.000E-9	6.630E-3
70.000E-9	7.240E-3
75.000E-9	7.860E-3
80.000E-9	8.470E-3
85.000E-9	9.090E-3
90.000E-9	9.700E-3
95.000E-9	10.320E-3
100.000E-9	10.700E-3
