Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 23.1	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.160E-3
-95.000E-9	-10.110E-3
-90.000E-9	-9.910E-3
-85.000E-9	-9.550E-3
-80.000E-9	-9.060E-3
-75.000E-9	-8.560E-3
-70.000E-9	-8.050E-3
-65.000E-9	-7.750E-3
-60.000E-9	-7.200E-3
-55.000E-9	-6.850E-3
-50.000E-9	-6.240E-3
-45.000E-9	-5.630E-3
-40.000E-9	-5.070E-3
-35.000E-9	-4.710E-3
-30.000E-9	-4.140E-3
-25.000E-9	-3.570E-3
-20.000E-9	-3.000E-3
-15.000E-9	-2.640E-3
-10.000E-9	-2.070E-3
-5.000E-9	-1.490E-3
0.000E+0	-910.000E-6
5.000E-9	-330.000E-6
10.000E-9	180.000E-6
15.000E-9	710.000E-6
20.000E-9	1.240E-3
25.000E-9	1.770E-3
30.000E-9	2.310E-3
35.000E-9	2.630E-3
40.000E-9	3.230E-3
45.000E-9	3.820E-3
50.000E-9	4.410E-3
55.000E-9	5.000E-3
60.000E-9	5.540E-3
65.000E-9	5.870E-3
70.000E-9	6.470E-3
75.000E-9	7.060E-3
80.000E-9	7.660E-3
85.000E-9	8.270E-3
90.000E-9	8.600E-3
95.000E-9	9.220E-3
100.000E-9	9.830E-3
