Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 23.6	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.890E-3
-95.000E-9	-10.830E-3
-90.000E-9	-10.620E-3
-85.000E-9	-10.240E-3
-80.000E-9	-9.920E-3
-75.000E-9	-9.340E-3
-70.000E-9	-8.760E-3
-65.000E-9	-8.190E-3
-60.000E-9	-7.600E-3
-55.000E-9	-7.070E-3
-50.000E-9	-6.530E-3
-45.000E-9	-6.200E-3
-40.000E-9	-5.820E-3
-35.000E-9	-5.150E-3
-30.000E-9	-4.480E-3
-25.000E-9	-4.040E-3
-20.000E-9	-3.360E-3
-15.000E-9	-2.750E-3
-10.000E-9	-2.130E-3
-5.000E-9	-1.730E-3
0.000E+0	-1.330E-3
5.000E-9	-870.000E-6
10.000E-9	-120.000E-6
15.000E-9	620.000E-6
20.000E-9	1.320E-3
25.000E-9	1.970E-3
30.000E-9	2.560E-3
35.000E-9	3.150E-3
40.000E-9	3.740E-3
45.000E-9	4.330E-3
50.000E-9	4.940E-3
55.000E-9	5.300E-3
60.000E-9	5.970E-3
65.000E-9	6.640E-3
70.000E-9	7.310E-3
75.000E-9	7.980E-3
80.000E-9	8.580E-3
85.000E-9	8.930E-3
90.000E-9	9.600E-3
95.000E-9	10.290E-3
100.000E-9	10.970E-3
