Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.2	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.350E-3
-95.000E-9	-12.300E-3
-90.000E-9	-12.070E-3
-85.000E-9	-11.650E-3
-80.000E-9	-11.300E-3
-75.000E-9	-10.880E-3
-70.000E-9	-10.170E-3
-65.000E-9	-9.690E-3
-60.000E-9	-9.200E-3
-55.000E-9	-8.350E-3
-50.000E-9	-7.860E-3
-45.000E-9	-7.050E-3
-40.000E-9	-6.560E-3
-35.000E-9	-5.810E-3
-30.000E-9	-5.300E-3
-25.000E-9	-4.540E-3
-20.000E-9	-3.770E-3
-15.000E-9	-3.320E-3
-10.000E-9	-2.550E-3
-5.000E-9	-1.830E-3
0.000E+0	-1.110E-3
5.000E-9	-380.000E-6
10.000E-9	270.000E-6
15.000E-9	940.000E-6
20.000E-9	1.610E-3
25.000E-9	2.280E-3
30.000E-9	2.690E-3
35.000E-9	3.160E-3
40.000E-9	3.990E-3
45.000E-9	4.810E-3
50.000E-9	5.640E-3
55.000E-9	6.130E-3
60.000E-9	6.890E-3
65.000E-9	7.660E-3
70.000E-9	8.160E-3
75.000E-9	9.000E-3
80.000E-9	9.780E-3
85.000E-9	10.560E-3
90.000E-9	11.060E-3
95.000E-9	11.850E-3
100.000E-9	12.630E-3
