Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 21.6	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-6.750E-3
-95.000E-9	-6.750E-3
-90.000E-9	-6.620E-3
-85.000E-9	-6.390E-3
-80.000E-9	-6.190E-3
-75.000E-9	-5.930E-3
-70.000E-9	-5.520E-3
-65.000E-9	-5.110E-3
-60.000E-9	-4.710E-3
-55.000E-9	-4.340E-3
-50.000E-9	-4.150E-3
-45.000E-9	-3.780E-3
-40.000E-9	-3.420E-3
-35.000E-9	-3.040E-3
-30.000E-9	-2.670E-3
-25.000E-9	-2.330E-3
-20.000E-9	-1.980E-3
-15.000E-9	-1.640E-3
-10.000E-9	-1.300E-3
-5.000E-9	-960.000E-6
0.000E+0	-610.000E-6
5.000E-9	-270.000E-6
10.000E-9	70.000E-6
15.000E-9	410.000E-6
20.000E-9	760.000E-6
25.000E-9	1.110E-3
30.000E-9	1.460E-3
35.000E-9	1.810E-3
40.000E-9	2.020E-3
45.000E-9	2.400E-3
50.000E-9	2.660E-3
55.000E-9	3.070E-3
60.000E-9	3.490E-3
65.000E-9	3.890E-3
70.000E-9	4.280E-3
75.000E-9	4.510E-3
80.000E-9	4.890E-3
85.000E-9	5.280E-3
90.000E-9	5.520E-3
95.000E-9	5.940E-3
100.000E-9	6.190E-3
