Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.8	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.600E-3
-95.000E-9	-10.550E-3
-90.000E-9	-10.440E-3
-85.000E-9	-10.230E-3
-80.000E-9	-9.730E-3
-75.000E-9	-9.320E-3
-70.000E-9	-8.660E-3
-65.000E-9	-8.040E-3
-60.000E-9	-7.460E-3
-55.000E-9	-6.880E-3
-50.000E-9	-6.350E-3
-45.000E-9	-6.030E-3
-40.000E-9	-5.440E-3
-35.000E-9	-4.840E-3
-30.000E-9	-4.250E-3
-25.000E-9	-3.650E-3
-20.000E-9	-3.330E-3
-15.000E-9	-2.720E-3
-10.000E-9	-2.120E-3
-5.000E-9	-1.510E-3
0.000E+0	-900.000E-6
5.000E-9	-350.000E-6
10.000E-9	200.000E-6
15.000E-9	770.000E-6
20.000E-9	1.330E-3
25.000E-9	1.900E-3
30.000E-9	2.240E-3
35.000E-9	2.880E-3
40.000E-9	3.280E-3
45.000E-9	3.970E-3
50.000E-9	4.440E-3
55.000E-9	5.130E-3
60.000E-9	5.820E-3
65.000E-9	6.460E-3
70.000E-9	7.110E-3
75.000E-9	7.470E-3
80.000E-9	8.130E-3
85.000E-9	8.550E-3
90.000E-9	9.270E-3
95.000E-9	9.990E-3
100.000E-9	10.640E-3
