Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.380E-3
-95.000E-9	-11.330E-3
-90.000E-9	-11.220E-3
-85.000E-9	-10.830E-3
-80.000E-9	-10.270E-3
-75.000E-9	-9.660E-3
-70.000E-9	-9.050E-3
-65.000E-9	-8.500E-3
-60.000E-9	-7.940E-3
-55.000E-9	-7.390E-3
-50.000E-9	-6.830E-3
-45.000E-9	-6.270E-3
-40.000E-9	-5.930E-3
-35.000E-9	-5.300E-3
-30.000E-9	-4.680E-3
-25.000E-9	-4.040E-3
-20.000E-9	-3.400E-3
-15.000E-9	-3.050E-3
-10.000E-9	-2.410E-3
-5.000E-9	-1.760E-3
0.000E+0	-1.110E-3
5.000E-9	-460.000E-6
10.000E-9	120.000E-6
15.000E-9	720.000E-6
20.000E-9	1.320E-3
25.000E-9	1.930E-3
30.000E-9	2.530E-3
35.000E-9	3.140E-3
40.000E-9	3.750E-3
45.000E-9	4.370E-3
50.000E-9	4.740E-3
55.000E-9	5.420E-3
60.000E-9	6.100E-3
65.000E-9	6.790E-3
70.000E-9	7.490E-3
75.000E-9	7.870E-3
80.000E-9	8.560E-3
85.000E-9	9.250E-3
90.000E-9	9.940E-3
95.000E-9	10.390E-3
100.000E-9	11.080E-3
