Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.3	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.620E-3
-95.000E-9	-12.620E-3
-90.000E-9	-12.490E-3
-85.000E-9	-12.250E-3
-80.000E-9	-11.650E-3
-75.000E-9	-10.860E-3
-70.000E-9	-10.130E-3
-65.000E-9	-9.690E-3
-60.000E-9	-9.010E-3
-55.000E-9	-8.570E-3
-50.000E-9	-7.830E-3
-45.000E-9	-7.080E-3
-40.000E-9	-6.380E-3
-35.000E-9	-5.680E-3
-30.000E-9	-5.040E-3
-25.000E-9	-4.390E-3
-20.000E-9	-3.740E-3
-15.000E-9	-3.090E-3
-10.000E-9	-2.430E-3
-5.000E-9	-2.040E-3
0.000E+0	-1.310E-3
5.000E-9	-850.000E-6
10.000E-9	-320.000E-6
15.000E-9	540.000E-6
20.000E-9	1.350E-3
25.000E-9	2.160E-3
30.000E-9	2.630E-3
35.000E-9	3.100E-3
40.000E-9	3.920E-3
45.000E-9	4.750E-3
50.000E-9	5.300E-3
55.000E-9	5.850E-3
60.000E-9	6.680E-3
65.000E-9	7.500E-3
70.000E-9	8.060E-3
75.000E-9	8.900E-3
80.000E-9	9.680E-3
85.000E-9	10.450E-3
90.000E-9	10.950E-3
95.000E-9	11.460E-3
100.000E-9	12.350E-3
