Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 21.8	Humidity(%)= 13.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-7.740E-3
-95.000E-9	-7.700E-3
-90.000E-9	-7.530E-3
-85.000E-9	-7.260E-3
-80.000E-9	-6.890E-3
-75.000E-9	-6.500E-3
-70.000E-9	-6.120E-3
-65.000E-9	-5.730E-3
-60.000E-9	-5.340E-3
-55.000E-9	-4.960E-3
-50.000E-9	-4.580E-3
-45.000E-9	-4.200E-3
-40.000E-9	-3.800E-3
-35.000E-9	-3.410E-3
-30.000E-9	-3.010E-3
-25.000E-9	-2.620E-3
-20.000E-9	-2.220E-3
-15.000E-9	-1.830E-3
-10.000E-9	-1.430E-3
-5.000E-9	-1.040E-3
0.000E+0	-650.000E-6
5.000E-9	-250.000E-6
10.000E-9	130.000E-6
15.000E-9	530.000E-6
20.000E-9	930.000E-6
25.000E-9	1.330E-3
30.000E-9	1.730E-3
35.000E-9	2.120E-3
40.000E-9	2.520E-3
45.000E-9	2.920E-3
50.000E-9	3.320E-3
55.000E-9	3.720E-3
60.000E-9	4.120E-3
65.000E-9	4.520E-3
70.000E-9	4.920E-3
75.000E-9	5.330E-3
80.000E-9	5.730E-3
85.000E-9	6.120E-3
90.000E-9	6.520E-3
95.000E-9	6.910E-3
100.000E-9	7.320E-3
