Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 23.4	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.420E-3
-95.000E-9	-11.360E-3
-90.000E-9	-11.260E-3
-85.000E-9	-11.050E-3
-80.000E-9	-10.730E-3
-75.000E-9	-10.290E-3
-70.000E-9	-9.790E-3
-65.000E-9	-8.960E-3
-60.000E-9	-8.190E-3
-55.000E-9	-7.750E-3
-50.000E-9	-7.300E-3
-45.000E-9	-6.840E-3
-40.000E-9	-6.380E-3
-35.000E-9	-5.860E-3
-30.000E-9	-4.990E-3
-25.000E-9	-4.180E-3
-20.000E-9	-3.480E-3
-15.000E-9	-3.070E-3
-10.000E-9	-2.420E-3
-5.000E-9	-1.770E-3
0.000E+0	-1.120E-3
5.000E-9	-460.000E-6
10.000E-9	130.000E-6
15.000E-9	740.000E-6
20.000E-9	1.350E-3
25.000E-9	1.960E-3
30.000E-9	2.570E-3
35.000E-9	3.190E-3
40.000E-9	3.800E-3
45.000E-9	4.420E-3
50.000E-9	5.040E-3
55.000E-9	5.680E-3
60.000E-9	6.320E-3
65.000E-9	6.950E-3
70.000E-9	7.580E-3
75.000E-9	7.970E-3
80.000E-9	8.660E-3
85.000E-9	9.110E-3
90.000E-9	9.890E-3
95.000E-9	10.670E-3
100.000E-9	11.120E-3
