Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.750E-3
-95.000E-9	-11.750E-3
-90.000E-9	-11.640E-3
-85.000E-9	-11.410E-3
-80.000E-9	-11.070E-3
-75.000E-9	-10.630E-3
-70.000E-9	-9.780E-3
-65.000E-9	-9.270E-3
-60.000E-9	-8.470E-3
-55.000E-9	-7.770E-3
-50.000E-9	-7.130E-3
-45.000E-9	-6.490E-3
-40.000E-9	-5.900E-3
-35.000E-9	-5.550E-3
-30.000E-9	-4.900E-3
-25.000E-9	-4.240E-3
-20.000E-9	-3.590E-3
-15.000E-9	-3.170E-3
-10.000E-9	-2.500E-3
-5.000E-9	-2.080E-3
0.000E+0	-1.340E-3
5.000E-9	-850.000E-6
10.000E-9	-110.000E-6
15.000E-9	620.000E-6
20.000E-9	1.310E-3
25.000E-9	1.750E-3
30.000E-9	2.440E-3
35.000E-9	3.140E-3
40.000E-9	3.590E-3
45.000E-9	4.350E-3
50.000E-9	5.060E-3
55.000E-9	5.760E-3
60.000E-9	6.470E-3
65.000E-9	7.120E-3
70.000E-9	7.780E-3
75.000E-9	8.430E-3
80.000E-9	9.090E-3
85.000E-9	9.740E-3
90.000E-9	10.400E-3
95.000E-9	10.800E-3
100.000E-9	11.530E-3
