Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 21.7	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.820E-3
-95.000E-9	-11.760E-3
-90.000E-9	-11.530E-3
-85.000E-9	-11.130E-3
-80.000E-9	-10.560E-3
-75.000E-9	-10.220E-3
-70.000E-9	-9.830E-3
-65.000E-9	-9.130E-3
-60.000E-9	-8.430E-3
-55.000E-9	-7.710E-3
-50.000E-9	-7.060E-3
-45.000E-9	-6.470E-3
-40.000E-9	-6.110E-3
-35.000E-9	-5.460E-3
-30.000E-9	-4.800E-3
-25.000E-9	-4.140E-3
-20.000E-9	-3.470E-3
-15.000E-9	-2.860E-3
-10.000E-9	-2.500E-3
-5.000E-9	-1.820E-3
0.000E+0	-1.140E-3
5.000E-9	-460.000E-6
10.000E-9	-20.000E-6
15.000E-9	650.000E-6
20.000E-9	1.340E-3
25.000E-9	2.040E-3
30.000E-9	2.730E-3
35.000E-9	3.370E-3
40.000E-9	4.010E-3
45.000E-9	4.650E-3
50.000E-9	5.040E-3
55.000E-9	5.750E-3
60.000E-9	6.480E-3
65.000E-9	7.190E-3
70.000E-9	7.920E-3
75.000E-9	8.580E-3
80.000E-9	9.240E-3
85.000E-9	9.640E-3
90.000E-9	10.360E-3
95.000E-9	11.100E-3
100.000E-9	11.840E-3
