Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.740E-3
-95.000E-9	-11.730E-3
-90.000E-9	-11.620E-3
-85.000E-9	-11.400E-3
-80.000E-9	-11.070E-3
-75.000E-9	-10.620E-3
-70.000E-9	-10.060E-3
-65.000E-9	-9.210E-3
-60.000E-9	-8.700E-3
-55.000E-9	-8.180E-3
-50.000E-9	-7.370E-3
-45.000E-9	-6.670E-3
-40.000E-9	-5.970E-3
-35.000E-9	-5.320E-3
-30.000E-9	-4.730E-3
-25.000E-9	-4.380E-3
-20.000E-9	-3.960E-3
-15.000E-9	-3.240E-3
-10.000E-9	-2.750E-3
-5.000E-9	-1.960E-3
0.000E+0	-1.230E-3
5.000E-9	-800.000E-6
10.000E-9	-50.000E-6
15.000E-9	620.000E-6
20.000E-9	1.310E-3
25.000E-9	2.000E-3
30.000E-9	2.380E-3
35.000E-9	3.080E-3
40.000E-9	3.780E-3
45.000E-9	4.480E-3
50.000E-9	5.190E-3
55.000E-9	5.830E-3
60.000E-9	6.480E-3
65.000E-9	7.140E-3
70.000E-9	7.790E-3
75.000E-9	8.450E-3
80.000E-9	9.100E-3
85.000E-9	9.770E-3
90.000E-9	10.440E-3
95.000E-9	11.110E-3
100.000E-9	11.790E-3
