Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.3	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.040E-3
-95.000E-9	-12.980E-3
-90.000E-9	-12.850E-3
-85.000E-9	-12.600E-3
-80.000E-9	-11.980E-3
-75.000E-9	-11.240E-3
-70.000E-9	-10.490E-3
-65.000E-9	-10.050E-3
-60.000E-9	-9.350E-3
-55.000E-9	-8.660E-3
-50.000E-9	-7.950E-3
-45.000E-9	-7.490E-3
-40.000E-9	-6.780E-3
-35.000E-9	-6.320E-3
-30.000E-9	-5.800E-3
-25.000E-9	-4.940E-3
-20.000E-9	-4.140E-3
-15.000E-9	-3.340E-3
-10.000E-9	-2.590E-3
-5.000E-9	-2.190E-3
0.000E+0	-1.430E-3
5.000E-9	-680.000E-6
10.000E-9	70.000E-6
15.000E-9	840.000E-6
20.000E-9	1.540E-3
25.000E-9	2.240E-3
30.000E-9	2.660E-3
35.000E-9	3.440E-3
40.000E-9	4.220E-3
45.000E-9	5.010E-3
50.000E-9	5.810E-3
55.000E-9	6.250E-3
60.000E-9	7.050E-3
65.000E-9	7.850E-3
70.000E-9	8.650E-3
75.000E-9	9.460E-3
80.000E-9	9.900E-3
85.000E-9	10.710E-3
90.000E-9	11.520E-3
95.000E-9	12.040E-3
100.000E-9	12.940E-3
