Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.2	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.250E-3
-95.000E-9	-12.260E-3
-90.000E-9	-12.150E-3
-85.000E-9	-11.740E-3
-80.000E-9	-11.150E-3
-75.000E-9	-10.680E-3
-70.000E-9	-9.970E-3
-65.000E-9	-9.320E-3
-60.000E-9	-8.670E-3
-55.000E-9	-8.000E-3
-50.000E-9	-7.410E-3
-45.000E-9	-6.800E-3
-40.000E-9	-6.190E-3
-35.000E-9	-5.570E-3
-30.000E-9	-5.200E-3
-25.000E-9	-4.520E-3
-20.000E-9	-3.830E-3
-15.000E-9	-3.130E-3
-10.000E-9	-2.690E-3
-5.000E-9	-1.990E-3
0.000E+0	-1.280E-3
5.000E-9	-570.000E-6
10.000E-9	-120.000E-6
15.000E-9	590.000E-6
20.000E-9	1.310E-3
25.000E-9	2.040E-3
30.000E-9	2.770E-3
35.000E-9	3.440E-3
40.000E-9	4.100E-3
45.000E-9	4.770E-3
50.000E-9	5.440E-3
55.000E-9	6.120E-3
60.000E-9	6.810E-3
65.000E-9	7.490E-3
70.000E-9	7.910E-3
75.000E-9	8.660E-3
80.000E-9	9.430E-3
85.000E-9	10.200E-3
90.000E-9	10.690E-3
95.000E-9	11.180E-3
100.000E-9	11.760E-3
