Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 23.4	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.320E-3
-95.000E-9	-9.270E-3
-90.000E-9	-9.090E-3
-85.000E-9	-8.900E-3
-80.000E-9	-8.460E-3
-75.000E-9	-7.960E-3
-70.000E-9	-7.470E-3
-65.000E-9	-7.150E-3
-60.000E-9	-6.640E-3
-55.000E-9	-6.120E-3
-50.000E-9	-5.790E-3
-45.000E-9	-5.230E-3
-40.000E-9	-4.730E-3
-35.000E-9	-4.220E-3
-30.000E-9	-3.710E-3
-25.000E-9	-3.430E-3
-20.000E-9	-3.100E-3
-15.000E-9	-2.530E-3
-10.000E-9	-2.150E-3
-5.000E-9	-1.530E-3
0.000E+0	-950.000E-6
5.000E-9	-610.000E-6
10.000E-9	-40.000E-6
15.000E-9	490.000E-6
20.000E-9	1.020E-3
25.000E-9	1.560E-3
30.000E-9	2.050E-3
35.000E-9	2.540E-3
40.000E-9	2.840E-3
45.000E-9	3.380E-3
50.000E-9	3.730E-3
55.000E-9	4.330E-3
60.000E-9	4.930E-3
65.000E-9	5.470E-3
70.000E-9	6.030E-3
75.000E-9	6.330E-3
80.000E-9	6.890E-3
85.000E-9	7.440E-3
90.000E-9	8.000E-3
95.000E-9	8.570E-3
100.000E-9	9.080E-3
