Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.670E-3
-95.000E-9	-11.670E-3
-90.000E-9	-11.460E-3
-85.000E-9	-11.060E-3
-80.000E-9	-10.500E-3
-75.000E-9	-9.880E-3
-70.000E-9	-9.310E-3
-65.000E-9	-8.740E-3
-60.000E-9	-8.170E-3
-55.000E-9	-7.590E-3
-50.000E-9	-7.010E-3
-45.000E-9	-6.420E-3
-40.000E-9	-6.070E-3
-35.000E-9	-5.420E-3
-30.000E-9	-5.000E-3
-25.000E-9	-4.530E-3
-20.000E-9	-3.750E-3
-15.000E-9	-3.030E-3
-10.000E-9	-2.300E-3
-5.000E-9	-1.870E-3
0.000E+0	-1.200E-3
5.000E-9	-520.000E-6
10.000E-9	-90.000E-6
15.000E-9	650.000E-6
20.000E-9	1.340E-3
25.000E-9	2.040E-3
30.000E-9	2.730E-3
35.000E-9	3.370E-3
40.000E-9	4.010E-3
45.000E-9	4.390E-3
50.000E-9	5.100E-3
55.000E-9	5.810E-3
60.000E-9	6.520E-3
65.000E-9	7.240E-3
70.000E-9	7.890E-3
75.000E-9	8.550E-3
80.000E-9	9.210E-3
85.000E-9	9.870E-3
90.000E-9	10.260E-3
95.000E-9	10.720E-3
100.000E-9	11.530E-3
