Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC4_CBKRPoly_r
Temperature(C)= 21.0	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-16.430E-3
-95.000E-9	-16.440E-3
-90.000E-9	-16.130E-3
-85.000E-9	-15.580E-3
-80.000E-9	-15.120E-3
-75.000E-9	-14.500E-3
-70.000E-9	-13.560E-3
-65.000E-9	-12.940E-3
-60.000E-9	-12.320E-3
-55.000E-9	-11.210E-3
-50.000E-9	-10.250E-3
-45.000E-9	-9.280E-3
-40.000E-9	-8.380E-3
-35.000E-9	-7.560E-3
-30.000E-9	-6.730E-3
-25.000E-9	-6.230E-3
-20.000E-9	-5.300E-3
-15.000E-9	-4.700E-3
-10.000E-9	-4.020E-3
-5.000E-9	-2.890E-3
0.000E+0	-1.840E-3
5.000E-9	-1.140E-3
10.000E-9	-80.000E-6
15.000E-9	890.000E-6
20.000E-9	1.880E-3
25.000E-9	2.880E-3
30.000E-9	3.430E-3
35.000E-9	4.070E-3
40.000E-9	5.170E-3
45.000E-9	6.290E-3
50.000E-9	7.400E-3
55.000E-9	8.440E-3
60.000E-9	9.390E-3
65.000E-9	10.350E-3
70.000E-9	10.920E-3
75.000E-9	11.600E-3
80.000E-9	12.370E-3
85.000E-9	13.630E-3
90.000E-9	14.900E-3
95.000E-9	16.080E-3
100.000E-9	16.760E-3
