Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.8	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.750E-3
-95.000E-9	-10.750E-3
-90.000E-9	-10.540E-3
-85.000E-9	-10.170E-3
-80.000E-9	-9.870E-3
-75.000E-9	-9.450E-3
-70.000E-9	-8.830E-3
-65.000E-9	-8.200E-3
-60.000E-9	-7.570E-3
-55.000E-9	-6.990E-3
-50.000E-9	-6.460E-3
-45.000E-9	-5.930E-3
-40.000E-9	-5.390E-3
-35.000E-9	-4.850E-3
-30.000E-9	-4.310E-3
-25.000E-9	-3.760E-3
-20.000E-9	-3.210E-3
-15.000E-9	-2.660E-3
-10.000E-9	-2.110E-3
-5.000E-9	-1.560E-3
0.000E+0	-1.000E-3
5.000E-9	-440.000E-6
10.000E-9	110.000E-6
15.000E-9	670.000E-6
20.000E-9	1.240E-3
25.000E-9	1.580E-3
30.000E-9	2.210E-3
35.000E-9	2.840E-3
40.000E-9	3.480E-3
45.000E-9	4.110E-3
50.000E-9	4.690E-3
55.000E-9	5.260E-3
60.000E-9	5.610E-3
65.000E-9	6.260E-3
70.000E-9	6.910E-3
75.000E-9	7.560E-3
80.000E-9	8.210E-3
85.000E-9	8.800E-3
90.000E-9	9.400E-3
95.000E-9	10.000E-3
100.000E-9	10.610E-3
