Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CBKRPoly_r
Temperature(C)= 21.5	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.210E-3
-95.000E-9	-9.210E-3
-90.000E-9	-9.030E-3
-85.000E-9	-8.720E-3
-80.000E-9	-8.280E-3
-75.000E-9	-7.970E-3
-70.000E-9	-7.490E-3
-65.000E-9	-6.990E-3
-60.000E-9	-6.480E-3
-55.000E-9	-5.980E-3
-50.000E-9	-5.520E-3
-45.000E-9	-5.060E-3
-40.000E-9	-4.600E-3
-35.000E-9	-4.130E-3
-30.000E-9	-3.670E-3
-25.000E-9	-3.200E-3
-20.000E-9	-2.920E-3
-15.000E-9	-2.400E-3
-10.000E-9	-2.070E-3
-5.000E-9	-1.690E-3
0.000E+0	-1.080E-3
5.000E-9	-510.000E-6
10.000E-9	50.000E-6
15.000E-9	580.000E-6
20.000E-9	1.060E-3
25.000E-9	1.540E-3
30.000E-9	1.830E-3
35.000E-9	2.360E-3
40.000E-9	2.900E-3
45.000E-9	3.440E-3
50.000E-9	3.780E-3
55.000E-9	4.330E-3
60.000E-9	4.870E-3
65.000E-9	5.210E-3
70.000E-9	5.790E-3
75.000E-9	6.330E-3
80.000E-9	6.890E-3
85.000E-9	7.250E-3
90.000E-9	7.810E-3
95.000E-9	8.370E-3
100.000E-9	8.730E-3
