Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.8	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.240E-3
-95.000E-9	-10.240E-3
-90.000E-9	-10.040E-3
-85.000E-9	-9.700E-3
-80.000E-9	-9.210E-3
-75.000E-9	-8.670E-3
-70.000E-9	-8.170E-3
-65.000E-9	-7.680E-3
-60.000E-9	-7.170E-3
-55.000E-9	-6.870E-3
-50.000E-9	-6.300E-3
-45.000E-9	-5.730E-3
-40.000E-9	-5.370E-3
-35.000E-9	-4.750E-3
-30.000E-9	-4.170E-3
-25.000E-9	-3.600E-3
-20.000E-9	-3.020E-3
-15.000E-9	-2.700E-3
-10.000E-9	-2.120E-3
-5.000E-9	-1.530E-3
0.000E+0	-940.000E-6
5.000E-9	-340.000E-6
10.000E-9	190.000E-6
15.000E-9	730.000E-6
20.000E-9	1.280E-3
25.000E-9	1.830E-3
30.000E-9	2.390E-3
35.000E-9	2.940E-3
40.000E-9	3.500E-3
45.000E-9	4.060E-3
50.000E-9	4.630E-3
55.000E-9	5.190E-3
60.000E-9	5.530E-3
65.000E-9	6.160E-3
70.000E-9	6.790E-3
75.000E-9	7.410E-3
80.000E-9	8.050E-3
85.000E-9	8.620E-3
90.000E-9	9.200E-3
95.000E-9	9.780E-3
100.000E-9	10.370E-3
