Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.2	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.160E-3
-95.000E-9	-12.110E-3
-90.000E-9	-11.890E-3
-85.000E-9	-11.490E-3
-80.000E-9	-10.910E-3
-75.000E-9	-10.320E-3
-70.000E-9	-9.960E-3
-65.000E-9	-9.320E-3
-60.000E-9	-8.680E-3
-55.000E-9	-8.030E-3
-50.000E-9	-7.360E-3
-45.000E-9	-6.740E-3
-40.000E-9	-6.120E-3
-35.000E-9	-5.500E-3
-30.000E-9	-5.120E-3
-25.000E-9	-4.430E-3
-20.000E-9	-3.990E-3
-15.000E-9	-3.490E-3
-10.000E-9	-2.660E-3
-5.000E-9	-2.150E-3
0.000E+0	-1.320E-3
5.000E-9	-800.000E-6
10.000E-9	-20.000E-6
15.000E-9	750.000E-6
20.000E-9	1.470E-3
25.000E-9	2.190E-3
30.000E-9	2.860E-3
35.000E-9	3.520E-3
40.000E-9	4.190E-3
45.000E-9	4.870E-3
50.000E-9	5.540E-3
55.000E-9	6.220E-3
60.000E-9	6.900E-3
65.000E-9	7.590E-3
70.000E-9	8.290E-3
75.000E-9	8.980E-3
80.000E-9	9.670E-3
85.000E-9	10.360E-3
90.000E-9	10.780E-3
95.000E-9	11.550E-3
100.000E-9	12.320E-3
