Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.8	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.350E-3
-95.000E-9	-10.340E-3
-90.000E-9	-10.140E-3
-85.000E-9	-9.790E-3
-80.000E-9	-9.290E-3
-75.000E-9	-8.940E-3
-70.000E-9	-8.390E-3
-65.000E-9	-7.840E-3
-60.000E-9	-7.490E-3
-55.000E-9	-6.890E-3
-50.000E-9	-6.320E-3
-45.000E-9	-5.760E-3
-40.000E-9	-5.190E-3
-35.000E-9	-4.670E-3
-30.000E-9	-4.150E-3
-25.000E-9	-3.620E-3
-20.000E-9	-3.310E-3
-15.000E-9	-2.720E-3
-10.000E-9	-2.350E-3
-5.000E-9	-1.930E-3
0.000E+0	-1.230E-3
5.000E-9	-800.000E-6
10.000E-9	-100.000E-6
15.000E-9	540.000E-6
20.000E-9	1.140E-3
25.000E-9	1.750E-3
30.000E-9	2.300E-3
35.000E-9	2.640E-3
40.000E-9	3.250E-3
45.000E-9	3.870E-3
50.000E-9	4.490E-3
55.000E-9	5.110E-3
60.000E-9	5.450E-3
65.000E-9	6.070E-3
70.000E-9	6.470E-3
75.000E-9	7.160E-3
80.000E-9	7.850E-3
85.000E-9	8.490E-3
90.000E-9	9.130E-3
95.000E-9	9.710E-3
100.000E-9	10.300E-3
