Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC1_VDPPoly_s
Temperature(C)= 19.8	Humidity(%)= 9.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.150E-3
-9.500E-6	-5.120E-3
-9.000E-6	-5.070E-3
-8.500E-6	-4.890E-3
-8.000E-6	-4.740E-3
-7.500E-6	-4.430E-3
-7.000E-6	-4.120E-3
-6.500E-6	-3.840E-3
-6.000E-6	-3.550E-3
-5.500E-6	-3.300E-3
-5.000E-6	-3.040E-3
-4.500E-6	-2.780E-3
-4.000E-6	-2.520E-3
-3.500E-6	-2.370E-3
-3.000E-6	-2.080E-3
-2.500E-6	-1.900E-3
-2.000E-6	-1.590E-3
-1.500E-6	-1.290E-3
-1.000E-6	-1.000E-3
-500.000E-9	-720.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-200.000E-6
1.000E-6	-50.000E-6
1.500E-6	230.000E-6
2.000E-6	410.000E-6
2.500E-6	720.000E-6
3.000E-6	1.030E-3
3.500E-6	1.310E-3
4.000E-6	1.590E-3
4.500E-6	1.850E-3
5.000E-6	2.110E-3
5.500E-6	2.360E-3
6.000E-6	2.620E-3
6.500E-6	2.880E-3
7.000E-6	3.140E-3
7.500E-6	3.390E-3
8.000E-6	3.650E-3
8.500E-6	3.910E-3
9.000E-6	4.170E-3
9.500E-6	4.420E-3
10.000E-6	4.580E-3
