Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 22.0	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.060E-3
-9.500E-6	-5.060E-3
-9.000E-6	-4.960E-3
-8.500E-6	-4.850E-3
-8.000E-6	-4.700E-3
-7.500E-6	-4.370E-3
-7.000E-6	-4.070E-3
-6.500E-6	-3.860E-3
-6.000E-6	-3.560E-3
-5.500E-6	-3.280E-3
-5.000E-6	-3.000E-3
-4.500E-6	-2.830E-3
-4.000E-6	-2.550E-3
-3.500E-6	-2.270E-3
-3.000E-6	-1.990E-3
-2.500E-6	-1.810E-3
-2.000E-6	-1.540E-3
-1.500E-6	-1.260E-3
-1.000E-6	-1.080E-3
-500.000E-9	-880.000E-6
-1.694E-21	-580.000E-6
500.000E-9	-270.000E-6
1.000E-6	-70.000E-6
1.500E-6	220.000E-6
2.000E-6	500.000E-6
2.500E-6	780.000E-6
3.000E-6	1.060E-3
3.500E-6	1.310E-3
4.000E-6	1.460E-3
4.500E-6	1.740E-3
5.000E-6	2.020E-3
5.500E-6	2.300E-3
6.000E-6	2.580E-3
6.500E-6	2.830E-3
7.000E-6	3.080E-3
7.500E-6	3.340E-3
8.000E-6	3.590E-3
8.500E-6	3.840E-3
9.000E-6	4.100E-3
9.500E-6	4.350E-3
10.000E-6	4.500E-3
