Custom_Flutes_13-Nov-20_5:47:14 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 24.1	Humidity(%)= 17.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.070E-3
-9.500E-6	-5.040E-3
-9.000E-6	-4.940E-3
-8.500E-6	-4.760E-3
-8.000E-6	-4.500E-3
-7.500E-6	-4.240E-3
-7.000E-6	-3.990E-3
-6.500E-6	-3.730E-3
-6.000E-6	-3.470E-3
-5.500E-6	-3.210E-3
-5.000E-6	-2.950E-3
-4.500E-6	-2.700E-3
-4.000E-6	-2.440E-3
-3.500E-6	-2.180E-3
-3.000E-6	-1.920E-3
-2.500E-6	-1.670E-3
-2.000E-6	-1.410E-3
-1.500E-6	-1.150E-3
-1.000E-6	-890.000E-6
-500.000E-9	-640.000E-6
-1.694E-21	-380.000E-6
500.000E-9	-120.000E-6
1.000E-6	130.000E-6
1.500E-6	380.000E-6
2.000E-6	640.000E-6
2.500E-6	900.000E-6
3.000E-6	1.160E-3
3.500E-6	1.410E-3
4.000E-6	1.670E-3
4.500E-6	1.930E-3
5.000E-6	2.190E-3
5.500E-6	2.440E-3
6.000E-6	2.700E-3
6.500E-6	2.960E-3
7.000E-6	3.220E-3
7.500E-6	3.470E-3
8.000E-6	3.730E-3
8.500E-6	3.990E-3
9.000E-6	4.250E-3
9.500E-6	4.500E-3
10.000E-6	4.760E-3
