Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 22.0	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.190E-3
-9.500E-6	-5.190E-3
-9.000E-6	-5.080E-3
-8.500E-6	-4.900E-3
-8.000E-6	-4.640E-3
-7.500E-6	-4.360E-3
-7.000E-6	-4.100E-3
-6.500E-6	-3.840E-3
-6.000E-6	-3.580E-3
-5.500E-6	-3.420E-3
-5.000E-6	-3.240E-3
-4.500E-6	-3.030E-3
-4.000E-6	-2.700E-3
-3.500E-6	-2.360E-3
-3.000E-6	-2.050E-3
-2.500E-6	-1.760E-3
-2.000E-6	-1.500E-3
-1.500E-6	-1.240E-3
-1.000E-6	-980.000E-6
-500.000E-9	-720.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-200.000E-6
1.000E-6	-50.000E-6
1.500E-6	230.000E-6
2.000E-6	520.000E-6
2.500E-6	800.000E-6
3.000E-6	1.080E-3
3.500E-6	1.340E-3
4.000E-6	1.600E-3
4.500E-6	1.870E-3
5.000E-6	2.130E-3
5.500E-6	2.390E-3
6.000E-6	2.640E-3
6.500E-6	2.910E-3
7.000E-6	3.160E-3
7.500E-6	3.420E-3
8.000E-6	3.680E-3
8.500E-6	3.940E-3
9.000E-6	4.100E-3
9.500E-6	4.380E-3
10.000E-6	4.570E-3
