Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 22.9	Humidity(%)= 23.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.060E-3
-9.500E-6	-5.060E-3
-9.000E-6	-5.000E-3
-8.500E-6	-4.840E-3
-8.000E-6	-4.610E-3
-7.500E-6	-4.340E-3
-7.000E-6	-4.090E-3
-6.500E-6	-3.820E-3
-6.000E-6	-3.570E-3
-5.500E-6	-3.310E-3
-5.000E-6	-3.070E-3
-4.500E-6	-2.820E-3
-4.000E-6	-2.560E-3
-3.500E-6	-2.320E-3
-3.000E-6	-2.080E-3
-2.500E-6	-1.820E-3
-2.000E-6	-1.570E-3
-1.500E-6	-1.310E-3
-1.000E-6	-1.090E-3
-500.000E-9	-850.000E-6
-1.694E-21	-600.000E-6
500.000E-9	-340.000E-6
1.000E-6	-60.000E-6
1.500E-6	150.000E-6
2.000E-6	410.000E-6
2.500E-6	670.000E-6
3.000E-6	930.000E-6
3.500E-6	1.220E-3
4.000E-6	1.470E-3
4.500E-6	1.720E-3
5.000E-6	1.960E-3
5.500E-6	2.210E-3
6.000E-6	2.460E-3
6.500E-6	2.720E-3
7.000E-6	2.970E-3
7.500E-6	3.220E-3
8.000E-6	3.470E-3
8.500E-6	3.730E-3
9.000E-6	3.880E-3
9.500E-6	4.180E-3
10.000E-6	4.450E-3
