Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 21.8	Humidity(%)= 24.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.160E-3
-9.500E-6	-5.130E-3
-9.000E-6	-4.950E-3
-8.500E-6	-4.790E-3
-8.000E-6	-4.510E-3
-7.500E-6	-4.230E-3
-7.000E-6	-4.120E-3
-6.500E-6	-4.170E-3
-6.000E-6	-3.940E-3
-5.500E-6	-3.730E-3
-5.000E-6	-3.010E-3
-4.500E-6	-2.810E-3
-4.000E-6	-2.540E-3
-3.500E-6	-2.280E-3
-3.000E-6	-1.970E-3
-2.500E-6	-1.650E-3
-2.000E-6	-1.330E-3
-1.500E-6	-1.100E-3
-1.000E-6	-960.000E-6
-500.000E-9	-720.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-160.000E-6
1.000E-6	100.000E-6
1.500E-6	320.000E-6
2.000E-6	570.000E-6
2.500E-6	810.000E-6
3.000E-6	1.060E-3
3.500E-6	1.280E-3
4.000E-6	1.540E-3
4.500E-6	1.810E-3
5.000E-6	2.080E-3
5.500E-6	2.350E-3
6.000E-6	2.590E-3
6.500E-6	2.830E-3
7.000E-6	3.080E-3
7.500E-6	3.340E-3
8.000E-6	3.500E-3
8.500E-6	3.770E-3
9.000E-6	4.060E-3
9.500E-6	4.340E-3
10.000E-6	4.630E-3
