Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 21.6	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.010E-3
-9.500E-6	-5.010E-3
-9.000E-6	-4.910E-3
-8.500E-6	-4.810E-3
-8.000E-6	-4.560E-3
-7.500E-6	-4.260E-3
-7.000E-6	-3.980E-3
-6.500E-6	-3.710E-3
-6.000E-6	-3.450E-3
-5.500E-6	-3.300E-3
-5.000E-6	-3.030E-3
-4.500E-6	-2.750E-3
-4.000E-6	-2.470E-3
-3.500E-6	-2.200E-3
-3.000E-6	-1.950E-3
-2.500E-6	-1.800E-3
-2.000E-6	-1.520E-3
-1.500E-6	-1.340E-3
-1.000E-6	-1.140E-3
-500.000E-9	-810.000E-6
-1.694E-21	-510.000E-6
500.000E-9	-210.000E-6
1.000E-6	60.000E-6
1.500E-6	310.000E-6
2.000E-6	560.000E-6
2.500E-6	810.000E-6
3.000E-6	1.060E-3
3.500E-6	1.310E-3
4.000E-6	1.560E-3
4.500E-6	1.710E-3
5.000E-6	1.990E-3
5.500E-6	2.270E-3
6.000E-6	2.550E-3
6.500E-6	2.820E-3
7.000E-6	3.070E-3
7.500E-6	3.320E-3
8.000E-6	3.470E-3
8.500E-6	3.750E-3
9.000E-6	4.030E-3
9.500E-6	4.200E-3
10.000E-6	4.500E-3
