Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 22.0	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.030E-3
-9.500E-6	-5.000E-3
-9.000E-6	-4.900E-3
-8.500E-6	-4.800E-3
-8.000E-6	-4.550E-3
-7.500E-6	-4.270E-3
-7.000E-6	-4.000E-3
-6.500E-6	-3.720E-3
-6.000E-6	-3.470E-3
-5.500E-6	-3.210E-3
-5.000E-6	-2.960E-3
-4.500E-6	-2.810E-3
-4.000E-6	-2.530E-3
-3.500E-6	-2.350E-3
-3.000E-6	-2.050E-3
-2.500E-6	-1.750E-3
-2.000E-6	-1.470E-3
-1.500E-6	-1.300E-3
-1.000E-6	-1.020E-3
-500.000E-9	-740.000E-6
-1.694E-21	-570.000E-6
500.000E-9	-260.000E-6
1.000E-6	0.000E+0
1.500E-6	280.000E-6
2.000E-6	560.000E-6
2.500E-6	810.000E-6
3.000E-6	1.060E-3
3.500E-6	1.310E-3
4.000E-6	1.560E-3
4.500E-6	1.820E-3
5.000E-6	1.970E-3
5.500E-6	2.240E-3
6.000E-6	2.520E-3
6.500E-6	2.800E-3
7.000E-6	3.080E-3
7.500E-6	3.230E-3
8.000E-6	3.400E-3
8.500E-6	3.610E-3
9.000E-6	3.930E-3
9.500E-6	4.260E-3
10.000E-6	4.560E-3
