Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC1_VDPStop_s
Temperature(C)= 22.0	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.120E-3
-950.000E-9	-4.100E-3
-900.000E-9	-4.010E-3
-850.000E-9	-3.870E-3
-800.000E-9	-3.660E-3
-750.000E-9	-3.450E-3
-700.000E-9	-3.240E-3
-650.000E-9	-3.030E-3
-600.000E-9	-2.820E-3
-550.000E-9	-2.620E-3
-500.000E-9	-2.400E-3
-450.000E-9	-2.190E-3
-400.000E-9	-1.980E-3
-350.000E-9	-1.860E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.480E-3
-200.000E-9	-1.220E-3
-150.000E-9	-970.000E-6
-100.000E-9	-750.000E-6
-50.000E-9	-520.000E-6
0.000E+0	-310.000E-6
50.000E-9	-100.000E-6
100.000E-9	110.000E-6
150.000E-9	320.000E-6
200.000E-9	530.000E-6
250.000E-9	740.000E-6
300.000E-9	950.000E-6
350.000E-9	1.160E-3
400.000E-9	1.370E-3
450.000E-9	1.570E-3
500.000E-9	1.790E-3
550.000E-9	2.000E-3
600.000E-9	2.210E-3
650.000E-9	2.420E-3
700.000E-9	2.630E-3
750.000E-9	2.760E-3
800.000E-9	2.990E-3
850.000E-9	3.210E-3
900.000E-9	3.440E-3
950.000E-9	3.670E-3
1.000E-6	3.800E-3
