Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC1_VDPStop_s
Temperature(C)= 22.0	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-3.390E-3
-950.000E-9	-3.390E-3
-900.000E-9	-3.310E-3
-850.000E-9	-3.190E-3
-800.000E-9	-3.020E-3
-750.000E-9	-2.820E-3
-700.000E-9	-2.650E-3
-650.000E-9	-2.470E-3
-600.000E-9	-2.370E-3
-550.000E-9	-2.250E-3
-500.000E-9	-2.040E-3
-450.000E-9	-1.840E-3
-400.000E-9	-1.630E-3
-350.000E-9	-1.450E-3
-300.000E-9	-1.270E-3
-250.000E-9	-1.100E-3
-200.000E-9	-930.000E-6
-150.000E-9	-760.000E-6
-100.000E-9	-590.000E-6
-50.000E-9	-430.000E-6
0.000E+0	-260.000E-6
50.000E-9	-150.000E-6
100.000E-9	20.000E-6
150.000E-9	210.000E-6
200.000E-9	390.000E-6
250.000E-9	510.000E-6
300.000E-9	700.000E-6
350.000E-9	890.000E-6
400.000E-9	1.080E-3
450.000E-9	1.200E-3
500.000E-9	1.380E-3
550.000E-9	1.570E-3
600.000E-9	1.750E-3
650.000E-9	1.940E-3
700.000E-9	2.040E-3
750.000E-9	2.240E-3
800.000E-9	2.360E-3
850.000E-9	2.500E-3
900.000E-9	2.720E-3
950.000E-9	2.860E-3
1.000E-6	3.000E-3
