Custom_Flutes_23-Nov-20_5:40:20 PM	Right_PQC1_VDPStop_s
Temperature(C)= 22.1	Humidity(%)= 13.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.090E-3
-950.000E-9	-4.090E-3
-900.000E-9	-4.000E-3
-850.000E-9	-3.850E-3
-800.000E-9	-3.650E-3
-750.000E-9	-3.420E-3
-700.000E-9	-3.220E-3
-650.000E-9	-3.020E-3
-600.000E-9	-2.810E-3
-550.000E-9	-2.670E-3
-500.000E-9	-2.440E-3
-450.000E-9	-2.220E-3
-400.000E-9	-2.070E-3
-350.000E-9	-1.840E-3
-300.000E-9	-1.610E-3
-250.000E-9	-1.380E-3
-200.000E-9	-1.150E-3
-150.000E-9	-930.000E-6
-100.000E-9	-720.000E-6
-50.000E-9	-520.000E-6
0.000E+0	-310.000E-6
50.000E-9	-100.000E-6
100.000E-9	90.000E-6
150.000E-9	300.000E-6
200.000E-9	500.000E-6
250.000E-9	710.000E-6
300.000E-9	920.000E-6
350.000E-9	1.130E-3
400.000E-9	1.330E-3
450.000E-9	1.540E-3
500.000E-9	1.750E-3
550.000E-9	1.950E-3
600.000E-9	2.160E-3
650.000E-9	2.370E-3
700.000E-9	2.570E-3
750.000E-9	2.790E-3
800.000E-9	2.980E-3
850.000E-9	3.190E-3
900.000E-9	3.400E-3
950.000E-9	3.610E-3
1.000E-6	3.820E-3
