Custom_Flutes_23-Nov-20_5:40:20 PM	Right_PQC1_VDPStop_r
Temperature(C)= 22.1	Humidity(%)= 13.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.130E-3
-950.000E-9	-4.110E-3
-900.000E-9	-4.010E-3
-850.000E-9	-3.850E-3
-800.000E-9	-3.650E-3
-750.000E-9	-3.440E-3
-700.000E-9	-3.230E-3
-650.000E-9	-3.020E-3
-600.000E-9	-2.810E-3
-550.000E-9	-2.610E-3
-500.000E-9	-2.420E-3
-450.000E-9	-2.200E-3
-400.000E-9	-1.980E-3
-350.000E-9	-1.770E-3
-300.000E-9	-1.560E-3
-250.000E-9	-1.370E-3
-200.000E-9	-1.150E-3
-150.000E-9	-950.000E-6
-100.000E-9	-750.000E-6
-50.000E-9	-530.000E-6
0.000E+0	-330.000E-6
50.000E-9	-120.000E-6
100.000E-9	70.000E-6
150.000E-9	270.000E-6
200.000E-9	480.000E-6
250.000E-9	690.000E-6
300.000E-9	900.000E-6
350.000E-9	1.100E-3
400.000E-9	1.300E-3
450.000E-9	1.520E-3
500.000E-9	1.640E-3
550.000E-9	1.870E-3
600.000E-9	2.100E-3
650.000E-9	2.330E-3
700.000E-9	2.560E-3
750.000E-9	2.770E-3
800.000E-9	2.970E-3
850.000E-9	3.170E-3
900.000E-9	3.380E-3
950.000E-9	3.580E-3
1.000E-6	3.800E-3
