Custom_Flutes_23-Nov-20_12:02:07 PM	Right_PQC1_VDPStop_s
Temperature(C)= 20.4	Humidity(%)= 18.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.040E-3
-950.000E-9	-4.020E-3
-900.000E-9	-3.930E-3
-850.000E-9	-3.780E-3
-800.000E-9	-3.580E-3
-750.000E-9	-3.380E-3
-700.000E-9	-3.180E-3
-650.000E-9	-2.970E-3
-600.000E-9	-2.760E-3
-550.000E-9	-2.560E-3
-500.000E-9	-2.350E-3
-450.000E-9	-2.150E-3
-400.000E-9	-1.950E-3
-350.000E-9	-1.740E-3
-300.000E-9	-1.540E-3
-250.000E-9	-1.330E-3
-200.000E-9	-1.130E-3
-150.000E-9	-920.000E-6
-100.000E-9	-720.000E-6
-50.000E-9	-520.000E-6
0.000E+0	-310.000E-6
50.000E-9	-110.000E-6
100.000E-9	90.000E-6
150.000E-9	290.000E-6
200.000E-9	500.000E-6
250.000E-9	700.000E-6
300.000E-9	910.000E-6
350.000E-9	1.110E-3
400.000E-9	1.310E-3
450.000E-9	1.520E-3
500.000E-9	1.720E-3
550.000E-9	1.930E-3
600.000E-9	2.130E-3
650.000E-9	2.330E-3
700.000E-9	2.540E-3
750.000E-9	2.740E-3
800.000E-9	2.950E-3
850.000E-9	3.150E-3
900.000E-9	3.350E-3
950.000E-9	3.550E-3
1.000E-6	3.760E-3
