Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.9	Humidity(%)= 17.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.140E-3
-950.000E-9	-4.120E-3
-900.000E-9	-4.030E-3
-850.000E-9	-3.950E-3
-800.000E-9	-3.740E-3
-750.000E-9	-3.520E-3
-700.000E-9	-3.290E-3
-650.000E-9	-3.060E-3
-600.000E-9	-2.850E-3
-550.000E-9	-2.650E-3
-500.000E-9	-2.440E-3
-450.000E-9	-2.240E-3
-400.000E-9	-2.030E-3
-350.000E-9	-1.830E-3
-300.000E-9	-1.620E-3
-250.000E-9	-1.410E-3
-200.000E-9	-1.200E-3
-150.000E-9	-990.000E-6
-100.000E-9	-790.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-370.000E-6
50.000E-9	-170.000E-6
100.000E-9	20.000E-6
150.000E-9	230.000E-6
200.000E-9	440.000E-6
250.000E-9	650.000E-6
300.000E-9	850.000E-6
350.000E-9	1.060E-3
400.000E-9	1.270E-3
450.000E-9	1.480E-3
500.000E-9	1.680E-3
550.000E-9	1.880E-3
600.000E-9	2.080E-3
650.000E-9	2.290E-3
700.000E-9	2.500E-3
750.000E-9	2.710E-3
800.000E-9	2.920E-3
850.000E-9	3.130E-3
900.000E-9	3.340E-3
950.000E-9	3.540E-3
1.000E-6	3.750E-3
