Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.0	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-3.450E-3
-950.000E-9	-3.600E-3
-900.000E-9	-3.730E-3
-850.000E-9	-3.740E-3
-800.000E-9	-3.300E-3
-750.000E-9	-2.850E-3
-700.000E-9	-2.530E-3
-650.000E-9	-2.570E-3
-600.000E-9	-2.650E-3
-550.000E-9	-2.580E-3
-500.000E-9	-2.280E-3
-450.000E-9	-1.810E-3
-400.000E-9	-1.510E-3
-350.000E-9	-1.360E-3
-300.000E-9	-1.230E-3
-250.000E-9	-1.100E-3
-200.000E-9	-830.000E-6
-150.000E-9	-570.000E-6
-100.000E-9	-450.000E-6
-50.000E-9	-340.000E-6
0.000E+0	-150.000E-6
50.000E-9	-130.000E-6
100.000E-9	10.000E-6
150.000E-9	200.000E-6
200.000E-9	360.000E-6
250.000E-9	630.000E-6
300.000E-9	820.000E-6
350.000E-9	970.000E-6
400.000E-9	1.070E-3
450.000E-9	1.190E-3
500.000E-9	1.350E-3
550.000E-9	1.610E-3
600.000E-9	1.850E-3
650.000E-9	2.110E-3
700.000E-9	2.240E-3
750.000E-9	2.360E-3
800.000E-9	2.530E-3
850.000E-9	2.730E-3
900.000E-9	2.910E-3
950.000E-9	3.080E-3
1.000E-6	3.190E-3
