Custom_Flutes_13-Nov-20_5:34:16 PM	Left_PQC1_VDPStop_s
Temperature(C)= 24.0	Humidity(%)= 17.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-2.890E-3
-950.000E-9	-3.320E-3
-900.000E-9	-3.520E-3
-850.000E-9	-3.580E-3
-800.000E-9	-3.730E-3
-750.000E-9	-3.470E-3
-700.000E-9	-3.500E-3
-650.000E-9	-3.210E-3
-600.000E-9	-2.920E-3
-550.000E-9	-2.850E-3
-500.000E-9	-2.590E-3
-450.000E-9	-2.400E-3
-400.000E-9	-2.130E-3
-350.000E-9	-1.890E-3
-300.000E-9	-1.700E-3
-250.000E-9	-1.430E-3
-200.000E-9	-1.150E-3
-150.000E-9	-900.000E-6
-100.000E-9	-720.000E-6
-50.000E-9	-570.000E-6
0.000E+0	-340.000E-6
50.000E-9	-130.000E-6
100.000E-9	100.000E-6
150.000E-9	340.000E-6
200.000E-9	560.000E-6
250.000E-9	770.000E-6
300.000E-9	990.000E-6
350.000E-9	1.200E-3
400.000E-9	1.420E-3
450.000E-9	1.630E-3
500.000E-9	1.850E-3
550.000E-9	2.060E-3
600.000E-9	2.270E-3
650.000E-9	2.480E-3
700.000E-9	2.700E-3
750.000E-9	2.910E-3
800.000E-9	3.130E-3
850.000E-9	3.340E-3
900.000E-9	3.560E-3
950.000E-9	3.770E-3
1.000E-6	3.980E-3
