Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC1_VDPStop_r
Temperature(C)= 22.0	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.210E-3
-950.000E-9	-4.190E-3
-900.000E-9	-4.110E-3
-850.000E-9	-4.020E-3
-800.000E-9	-3.810E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.340E-3
-650.000E-9	-3.120E-3
-600.000E-9	-2.910E-3
-550.000E-9	-2.700E-3
-500.000E-9	-2.570E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.100E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.720E-3
-250.000E-9	-1.490E-3
-200.000E-9	-1.340E-3
-150.000E-9	-1.080E-3
-100.000E-9	-830.000E-6
-50.000E-9	-600.000E-6
0.000E+0	-370.000E-6
50.000E-9	-240.000E-6
100.000E-9	-10.000E-6
150.000E-9	210.000E-6
200.000E-9	440.000E-6
250.000E-9	670.000E-6
300.000E-9	880.000E-6
350.000E-9	1.090E-3
400.000E-9	1.300E-3
450.000E-9	1.510E-3
500.000E-9	1.640E-3
550.000E-9	1.790E-3
600.000E-9	2.040E-3
650.000E-9	2.300E-3
700.000E-9	2.550E-3
750.000E-9	2.790E-3
800.000E-9	3.000E-3
850.000E-9	3.120E-3
900.000E-9	3.350E-3
950.000E-9	3.580E-3
1.000E-6	3.730E-3
