Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC1_VDPStop_r
Temperature(C)= 23.3	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.170E-3
-950.000E-9	-4.150E-3
-900.000E-9	-4.070E-3
-850.000E-9	-3.920E-3
-800.000E-9	-3.720E-3
-750.000E-9	-3.510E-3
-700.000E-9	-3.300E-3
-650.000E-9	-3.090E-3
-600.000E-9	-2.870E-3
-550.000E-9	-2.750E-3
-500.000E-9	-2.520E-3
-450.000E-9	-2.290E-3
-400.000E-9	-2.060E-3
-350.000E-9	-1.830E-3
-300.000E-9	-1.700E-3
-250.000E-9	-1.470E-3
-200.000E-9	-1.320E-3
-150.000E-9	-1.080E-3
-100.000E-9	-830.000E-6
-50.000E-9	-600.000E-6
0.000E+0	-370.000E-6
50.000E-9	-170.000E-6
100.000E-9	30.000E-6
150.000E-9	240.000E-6
200.000E-9	450.000E-6
250.000E-9	660.000E-6
300.000E-9	880.000E-6
350.000E-9	1.080E-3
400.000E-9	1.290E-3
450.000E-9	1.500E-3
500.000E-9	1.710E-3
550.000E-9	1.910E-3
600.000E-9	2.130E-3
650.000E-9	2.330E-3
700.000E-9	2.550E-3
750.000E-9	2.750E-3
800.000E-9	2.970E-3
850.000E-9	3.100E-3
900.000E-9	3.240E-3
950.000E-9	3.400E-3
1.000E-6	3.670E-3
