Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC1_VDPStop_s
Temperature(C)= 22.3	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.150E-3
-950.000E-9	-4.130E-3
-900.000E-9	-4.040E-3
-850.000E-9	-3.950E-3
-800.000E-9	-3.830E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.330E-3
-650.000E-9	-3.080E-3
-600.000E-9	-2.930E-3
-550.000E-9	-2.700E-3
-500.000E-9	-2.560E-3
-450.000E-9	-2.310E-3
-400.000E-9	-2.060E-3
-350.000E-9	-1.820E-3
-300.000E-9	-1.590E-3
-250.000E-9	-1.390E-3
-200.000E-9	-1.260E-3
-150.000E-9	-1.040E-3
-100.000E-9	-800.000E-6
-50.000E-9	-570.000E-6
0.000E+0	-340.000E-6
50.000E-9	-210.000E-6
100.000E-9	0.000E+0
150.000E-9	230.000E-6
200.000E-9	460.000E-6
250.000E-9	690.000E-6
300.000E-9	890.000E-6
350.000E-9	1.100E-3
400.000E-9	1.320E-3
450.000E-9	1.530E-3
500.000E-9	1.740E-3
550.000E-9	1.950E-3
600.000E-9	2.160E-3
650.000E-9	2.370E-3
700.000E-9	2.570E-3
750.000E-9	2.770E-3
800.000E-9	2.990E-3
850.000E-9	3.120E-3
900.000E-9	3.340E-3
950.000E-9	3.580E-3
1.000E-6	3.810E-3
