Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC1_VDPStop_s
Temperature(C)= 22.0	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.180E-3
-950.000E-9	-4.180E-3
-900.000E-9	-4.100E-3
-850.000E-9	-3.950E-3
-800.000E-9	-3.730E-3
-750.000E-9	-3.500E-3
-700.000E-9	-3.290E-3
-650.000E-9	-3.080E-3
-600.000E-9	-2.870E-3
-550.000E-9	-2.650E-3
-500.000E-9	-2.440E-3
-450.000E-9	-2.230E-3
-400.000E-9	-2.020E-3
-350.000E-9	-1.900E-3
-300.000E-9	-1.750E-3
-250.000E-9	-1.490E-3
-200.000E-9	-1.320E-3
-150.000E-9	-1.050E-3
-100.000E-9	-790.000E-6
-50.000E-9	-560.000E-6
0.000E+0	-340.000E-6
50.000E-9	-120.000E-6
100.000E-9	80.000E-6
150.000E-9	290.000E-6
200.000E-9	500.000E-6
250.000E-9	710.000E-6
300.000E-9	920.000E-6
350.000E-9	1.130E-3
400.000E-9	1.260E-3
450.000E-9	1.490E-3
500.000E-9	1.640E-3
550.000E-9	1.890E-3
600.000E-9	2.150E-3
650.000E-9	2.380E-3
700.000E-9	2.610E-3
750.000E-9	2.740E-3
800.000E-9	2.970E-3
850.000E-9	3.200E-3
900.000E-9	3.350E-3
950.000E-9	3.600E-3
1.000E-6	3.750E-3
