Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC1_VDPStop_r
Temperature(C)= 21.6	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.130E-3
-950.000E-9	-4.110E-3
-900.000E-9	-4.030E-3
-850.000E-9	-3.890E-3
-800.000E-9	-3.680E-3
-750.000E-9	-3.470E-3
-700.000E-9	-3.260E-3
-650.000E-9	-3.050E-3
-600.000E-9	-2.840E-3
-550.000E-9	-2.630E-3
-500.000E-9	-2.510E-3
-450.000E-9	-2.360E-3
-400.000E-9	-2.110E-3
-350.000E-9	-1.860E-3
-300.000E-9	-1.610E-3
-250.000E-9	-1.460E-3
-200.000E-9	-1.240E-3
-150.000E-9	-1.010E-3
-100.000E-9	-780.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-340.000E-6
50.000E-9	-220.000E-6
100.000E-9	0.000E+0
150.000E-9	230.000E-6
200.000E-9	450.000E-6
250.000E-9	680.000E-6
300.000E-9	890.000E-6
350.000E-9	1.100E-3
400.000E-9	1.300E-3
450.000E-9	1.430E-3
500.000E-9	1.660E-3
550.000E-9	1.880E-3
600.000E-9	2.110E-3
650.000E-9	2.340E-3
700.000E-9	2.550E-3
750.000E-9	2.760E-3
800.000E-9	2.970E-3
850.000E-9	3.170E-3
900.000E-9	3.300E-3
950.000E-9	3.530E-3
1.000E-6	3.760E-3
