Name,R_sh [Ohm/square],delta_Rsh [Ohm/square]
VPX33234_012_PSS_EE_Left_r,18909.250511551618,52.492921188561375
VPX33234_012_PSS_EE_Left_s,19292.509942301265,201.42649023219207
VPX33234_012_PSS_EE_Right_r,19398.739455910512,64.36489887302339
VPX33234_012_PSS_EE_Right_s,19241.1309595038,52.4861317454611
VPX33234_013_PSS_EE_Left_r,18840.91051634607,145.25323406841582
VPX33234_013_PSS_EE_Left_s,18967.969347113838,123.17009825426891
VPX33234_013_PSS_EE_Right_r,19362.436933491594,64.87786251539238
VPX33234_013_PSS_EE_Right_s,19190.34710162958,40.12610506812383
VPX33234_014_PSS_EE_Left_r,18836.64546526208,23.41229345628495
VPX33234_014_PSS_EE_Left_s,18840.41457969656,9.704140524477516
VPX33234_014_PSS_EE_Right_r,19348.550721311352,63.22748661309427
VPX33234_014_PSS_EE_Right_s,19283.285529147153,62.86014071293835
VPX33234_015_PSS_EE_Left_r,18875.52685574315,94.3326223012537
VPX33234_015_PSS_EE_Left_s,19061.205337436488,58.61538701074915
VPX33234_015_PSS_EE_Right_r,19413.61753966432,29.38433458465058
VPX33234_015_PSS_EE_Right_s,19380.29063240606,14.780967056067718
VPX33234_012_PSS_NW_Left_r,19109.70788950071,37.463267826106694
VPX33234_012_PSS_NW_Left_s,19131.33070370512,33.05443860575796
VPX33234_013_PSS_NW_Left_r,18934.840815676616,41.62667430430471
VPX33234_013_PSS_NW_Left_s,18858.665028874602,37.10503712753995
VPX33234_014_PSS_NW_Left_r,18866.203257337133,32.76421194918927
VPX33234_014_PSS_NW_Left_s,19045.434569184905,39.51185952383766
VPX33234_015_PSS_NW_Left_r,19073.9013020583,5.2292982336030995
VPX33234_015_PSS_NW_Left_s,19130.14045709309,5.470904397046929
VPX33234_012_PSS_WW_Right_r,19265.72939034262,89.17435793921234
VPX33234_012_PSS_WW_Right_s,19230.319552566416,45.77037502256884
VPX33234_013_PSS_WW_Left_r,16052.85687263758,15.432885952131242
VPX33234_013_PSS_WW_Left_s,16184.081568307136,35.890914875091276
VPX33234_013_PSS_WW_Right_r,19288.542451813486,55.567294989283646
VPX33234_013_PSS_WW_Right_s,19107.327395770903,50.350160649016225
VPX33234_014_PSS_WW_Left_r,19897.849560632814,95.29533474194177
VPX33234_014_PSS_WW_Left_s,19474.915243388976,29.688661264957535
VPX33234_014_PSS_WW_Right_r,19166.641355292617,9.540953803704834
VPX33234_014_PSS_WW_Right_s,19189.256042083136,77.57287803876933
VPX33234_015_PSS_WW_Left_r,19750.65572250897,26.096169118376476
VPX33234_015_PSS_WW_Left_s,19663.866902746395,17.294230826754255
VPX33234_015_PSS_WW_Right_r,19080.447658394183,24.519915890449155
VPX33234_015_PSS_WW_Right_s,19023.910942010512,17.96238346503026
