Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC1_VDPStop_s
Temperature(C)= 18.2	Humidity(%)= 22.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-3.980E-3
-950.000E-9	-3.950E-3
-900.000E-9	-3.910E-3
-850.000E-9	-3.770E-3
-800.000E-9	-3.570E-3
-750.000E-9	-3.360E-3
-700.000E-9	-3.140E-3
-650.000E-9	-2.930E-3
-600.000E-9	-2.730E-3
-550.000E-9	-2.520E-3
-500.000E-9	-2.310E-3
-450.000E-9	-2.110E-3
-400.000E-9	-1.910E-3
-350.000E-9	-1.720E-3
-300.000E-9	-1.510E-3
-250.000E-9	-1.310E-3
-200.000E-9	-1.100E-3
-150.000E-9	-900.000E-6
-100.000E-9	-700.000E-6
-50.000E-9	-490.000E-6
0.000E+0	-300.000E-6
50.000E-9	-100.000E-6
100.000E-9	90.000E-6
150.000E-9	300.000E-6
200.000E-9	420.000E-6
250.000E-9	650.000E-6
300.000E-9	870.000E-6
350.000E-9	1.090E-3
400.000E-9	1.320E-3
450.000E-9	1.520E-3
500.000E-9	1.640E-3
550.000E-9	1.860E-3
600.000E-9	2.080E-3
650.000E-9	2.300E-3
700.000E-9	2.520E-3
750.000E-9	2.640E-3
800.000E-9	2.870E-3
850.000E-9	3.010E-3
900.000E-9	3.250E-3
950.000E-9	3.500E-3
1.000E-6	3.640E-3
