Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC1_VDPStop_s
Temperature(C)= 24.3	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.190E-3
-950.000E-9	-4.170E-3
-900.000E-9	-4.090E-3
-850.000E-9	-3.940E-3
-800.000E-9	-3.820E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.430E-3
-650.000E-9	-3.260E-3
-600.000E-9	-2.980E-3
-550.000E-9	-2.730E-3
-500.000E-9	-2.560E-3
-450.000E-9	-2.300E-3
-400.000E-9	-2.070E-3
-350.000E-9	-1.830E-3
-300.000E-9	-1.600E-3
-250.000E-9	-1.380E-3
-200.000E-9	-1.260E-3
-150.000E-9	-1.020E-3
-100.000E-9	-790.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-310.000E-6
50.000E-9	-100.000E-6
100.000E-9	100.000E-6
150.000E-9	230.000E-6
200.000E-9	460.000E-6
250.000E-9	700.000E-6
300.000E-9	930.000E-6
350.000E-9	1.160E-3
400.000E-9	1.380E-3
450.000E-9	1.580E-3
500.000E-9	1.720E-3
550.000E-9	1.950E-3
600.000E-9	2.190E-3
650.000E-9	2.430E-3
700.000E-9	2.660E-3
750.000E-9	2.870E-3
800.000E-9	3.090E-3
850.000E-9	3.300E-3
900.000E-9	3.430E-3
950.000E-9	3.660E-3
1.000E-6	3.810E-3
