Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC1_VDPStop_s
Temperature(C)= 20.5	Humidity(%)= 22.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.020E-3
-950.000E-9	-4.020E-3
-900.000E-9	-3.940E-3
-850.000E-9	-3.800E-3
-800.000E-9	-3.590E-3
-750.000E-9	-3.360E-3
-700.000E-9	-3.160E-3
-650.000E-9	-2.950E-3
-600.000E-9	-2.750E-3
-550.000E-9	-2.540E-3
-500.000E-9	-2.330E-3
-450.000E-9	-2.130E-3
-400.000E-9	-1.920E-3
-350.000E-9	-1.720E-3
-300.000E-9	-1.510E-3
-250.000E-9	-1.300E-3
-200.000E-9	-1.100E-3
-150.000E-9	-890.000E-6
-100.000E-9	-690.000E-6
-50.000E-9	-480.000E-6
0.000E+0	-280.000E-6
50.000E-9	-70.000E-6
100.000E-9	130.000E-6
150.000E-9	340.000E-6
200.000E-9	540.000E-6
250.000E-9	740.000E-6
300.000E-9	950.000E-6
350.000E-9	1.160E-3
400.000E-9	1.360E-3
450.000E-9	1.570E-3
500.000E-9	1.770E-3
550.000E-9	1.980E-3
600.000E-9	2.180E-3
650.000E-9	2.380E-3
700.000E-9	2.590E-3
750.000E-9	2.800E-3
800.000E-9	3.010E-3
850.000E-9	3.220E-3
900.000E-9	3.430E-3
950.000E-9	3.630E-3
1.000E-6	3.830E-3
